iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks,C
1,WECC_NMAZ,onshore_wind,0.022000000000000002,0.022000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,9
1,WECC_NMAZ,onshore_wind,1.143,1.143,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,10
1,WECC_NMAZ,solar,9164.975,9164.975,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_NMAZ,solar,5535.029,5535.029,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_NMAZ,solar,0.727,0.727,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_NMAZ,solar,0.25,0.25,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_NMAZ,solar,0.8170000000000001,0.8170000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,WECC_NMAZ,solar,15323.708,15323.708,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,WECC_NMAZ,solar,0.078,0.078,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,7
1,WECC_NMAZ,solar,0.077,0.077,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,8
1,WECC_NMAZ,solar,0.275,0.275,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,9
1,WECC_NMAZ,solar,0.042,0.042,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,10
1,WECC_NMAZ,solar,0.040999999999999995,0.040999999999999995,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,11
1,WECC_NMAZ,solar,5058.288,5058.288,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,12
1,WECC_NMAZ,solar,0.043,0.043,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,13
1,WECC_NMAZ,solar,0.047,0.047,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,14
1,WECC_NMAZ,solar,0.031,0.031,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,15
1,WECC_NMAZ,solar,0.031,0.031,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,16
1,WECC_PNW,ZCF,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_PNW,ZCF,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_PNW,battery,5984.646,5984.646,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_PNW,nuclear,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_PNW,onshore_wind,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,onshore_wind,0.004,0.004,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_PNW,onshore_wind,0.003,0.003,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_PNW,onshore_wind,0.003,0.003,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_PNW,solar,12014.999,12014.999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,solar,15131.363000000001,15131.363000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_PNW,solar,0.051,0.051,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_PNW,solar,0.078,0.078,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_WYCO,ZCF,882.043,882.043,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_WYCO,ZCF,0.044000000000000004,0.044000000000000004,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_WYCO,battery,2009.8,2009.8,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_WYCO,nuclear,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_WYCO,NGCCS,4082.5290000000005,4082.5290000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_WYCO,onshore_wind,6168.148,6168.148,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,onshore_wind,0.037000000000000005,0.037000000000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_WYCO,onshore_wind,0.022000000000000002,0.022000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_WYCO,onshore_wind,0.013999999999999999,0.013999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_WYCO,onshore_wind,11361.086000000001,11361.086000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,WECC_WYCO,onshore_wind,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,WECC_WYCO,onshore_wind,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,7
1,WECC_WYCO,onshore_wind,0.012,0.012,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,8
1,WECC_WYCO,solar,4763.4890000000005,4763.4890000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,solar,0.10300000000000001,0.10300000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_WYCO,solar,0.049,0.049,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_WYCO,solar,0.033,0.033,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_WYCO,solar,0.033,0.033,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,flexible_load,8967.414,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_N,hydrogen_storage,0.004,0.004,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,CA_S,hydrogen_storage,0.005,0.005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_N,hydrogen_storage,0.026000000000000002,0.026000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_NMAZ,hydrogen_storage,0.078,0.078,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_PNW,hydrogen_storage,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_WYCO,hydrogen_storage,0.008,0.008,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
2,CA_N,other_renewables,33.644,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,other_renewables,25.244,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,other_renewables,499.001,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,other_renewables,143.844,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,ZCF,3999.117,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,ZCF,0.7020000000000001,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,onshore_wind,1327.6,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,other_renewables,238.65599999999998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_N,other_renewables,1.913,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,CA_N,solar,2787.1,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,other_renewables,61.6,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,other_renewables,1.0859999999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,other_renewables,562.184,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,other_renewables,46.125,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,ZCF,6201.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,ZCF,0.54,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,onshore_wind,4735.6,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,other_renewables,126.67200000000001,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,CA_S,other_renewables,7.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,CA_S,solar,9520.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,other_renewables,4.5360000000000005,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,other_renewables,15.523,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,other_renewables,379.17,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,other_renewables,1.065,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
2,WECC_N,ZCF,2663.3,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,ZCF,662.805,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,onshore_wind,3893.9,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_N,solar,1185.7,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_NMAZ,other_renewables,3.5639999999999996,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,1
2,WECC_NMAZ,other_renewables,11.4,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test,2
