Line,New_Trans_Capacity,Cost_Trans_Capacity,iter,Policy,folder,case,weeks
9,4149.9956,168676580.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
10,664.00006,34073828.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
1,-1.4069045000000002e-05,-1.2816337,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
2,99.99988,9226689.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
3,2382.3281,207982020.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
4,1399.9993,146467920.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
5,-0.00018696897,-15.718855,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
6,990.03345,135632600.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
7,740.0002,46869390.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
8,5150.0,210985200.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
9,4149.9995,168676740.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
10,664.0002,34073830.0,17,p2_2045_high_mid_REF_high,MGA_0.05_19,max,january_test
1,-0.00019994623,-18.214302,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
2,99.99277,9226033.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
3,2445.4258,213490560.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
4,1399.9851,146466450.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
5,-0.00018700375,-15.721779999999999,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
6,-0.00019952157,-27.334057,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
7,739.99963,46869360.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
8,5150.0,210985200.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
9,3028.5635,123095970.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
10,664.00006,34073828.0,18,p2_2045_high_mid_REF_high,MGA_0.05_25,max,january_test
1,-0.00042637193,-38.84078,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
2,99.999176,9226624.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
3,1274.1359,111234616.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
4,1399.996,146467580.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
5,-0.0004260399,-35.818027,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
6,-0.00042695852,-58.492461999999996,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
7,740.0,46869380.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
8,5150.0005,210985220.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
9,3452.0840000000003,140309950.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
10,664.0004,34073844.0,19,p2_2045_high_mid_REF_high,MGA_0.05_28,max,january_test
1,3674.9937,334777200.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
2,99.99886,9226595.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
3,1509.4298,131776240.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
4,1399.9985,146467840.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
5,-0.000261361,-21.973143,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
6,2334.0825,319764600.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
7,740.00006,46869384.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
8,5150.0,210985200.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
9,1129.6578,45914944.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
10,664.0002400000001,34073836.0,20,p2_2045_high_mid_REF_high,MGA_0.05_29,max,january_test
1,0.008875515,808.5239,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
2,99.99955,9226659.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
3,1207.1293,105384800.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
4,427.8467,44761324.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
5,-0.00044674985,-37.559155,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
6,-0.00044729927,-61.279106000000006,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
7,739.9972,46869204.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
8,5150.0005,210985220.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
9,4150.0,168676750.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
10,664.0004,34073844.0,21,p2_2045_high_mid_REF_high,MGA_0.05_11,max,january_test
1,3674.9817,334776130.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
2,-0.00025040776,-23.104372,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
3,3674.995,320834430.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
4,1399.996,146467570.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
5,6234.258000000001,524126530.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
