iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks
3,CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,hydrogen_storage,0.003,0.003,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,onshore_wind,1327.6109999999996,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,solar,9523.535,6736.4349999999995,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,NGCCS,0.031,0.031,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,ZCF,6444.069000000001,0.06,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,battery,37983.831,37983.831,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,hydrogen_storage,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,onshore_wind,12286.664000000002,7551.063999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_S,solar,85034.03899999999,75514.039,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,battery,0.128,0.128,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
