Region,Resource Name,EndCap,NewCap,Policy,folder,case,iteration,weeks
CA_N,ZCF,5291.052,0.178,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,battery,24622.713,24622.713,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,hydrogen_storage,0.005,0.005,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,onshore_wind,1327.6089999999997,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_N,solar,55111.424,52324.324,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,NGCCS,34524.664,34524.664,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,ZCF,4584.649,0.037000000000000005,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,battery,0.63,0.63,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,hydrogen_storage,0.005,0.005,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,onshore_wind,4735.6500000000015,0.05,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
CA_S,solar,9520.014000000003,0.015,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,battery,7144.59,7144.59,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,hydrogen_storage,0.017,0.017,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,nuclear,0.004,0.004,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,onshore_wind,23761.193000000003,19867.293,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_N,solar,33760.116,32574.416,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_NMAZ,NGCCS,0.083,0.083,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_NMAZ,ZCF,3716.9849999999997,0.07300000000000001,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
WECC_NMAZ,battery,4822.052,4822.052,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
